date,text,link
2018-01-05 17:01,Facade / Building Envelope Project Architect or Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6449275324.html
2018-01-05 15:44,Scenic Construction Project Manager,https://newyork.craigslist.org/brk/egr/d/scenic-construction-project/6449172024.html
2018-01-05 14:48,Plumbing/ Fire Protection Engineer,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6449092162.html
2018-01-05 12:30,Project Manager,https://newyork.craigslist.org/mnh/egr/d/project-manager/6448883627.html
2018-01-05 10:42,AutoCAD PM/Drafting Positions for Site Safety Plans,https://newyork.craigslist.org/mnh/egr/d/autocad-pm-drafting-positions/6448727962.html
2018-01-05 10:00,JUNIOR ARCHITECT,https://newyork.craigslist.org/que/egr/d/junior-architect/6448675578.html
2018-01-05 09:58,MEP Estimator,https://newyork.craigslist.org/wch/egr/d/mep-estimator/6448673118.html
2018-01-04 19:14,Environmental Branding Project Designer (NYCGRAPHIC1801),https://newyork.craigslist.org/mnh/egr/d/environmental-branding/6448233403.html
2018-01-04 18:57,Workplace Strategist (NYCINT1860),https://newyork.craigslist.org/mnh/egr/d/workplace-strategist/6448216189.html
2018-01-04 18:43,Interior Design Production Coordinator (NYCINT1860),https://newyork.craigslist.org/mnh/egr/d/interior-design-production/6448202398.html
2018-01-04 18:19,Interior Design Job Captain - Retail (NYCINT1860),https://newyork.craigslist.org/mnh/egr/d/interior-design-job-captain/6448177494.html
2018-01-04 17:51,"Interior Design Project Manager, Retail (NYCINT1860)",https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6448146294.html
2018-01-04 17:22,Interior Design Job Captain (NYCINT1860),https://newyork.craigslist.org/mnh/egr/d/interior-design-job-captain/6448111882.html
2018-01-04 17:15,Mechanical Engineer,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/6448104652.html
2018-01-04 17:03,Interior Design Project Manager (NYCINT1860),https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6448090044.html
2018-01-04 16:46,Construction Coordination Associate,https://newyork.craigslist.org/wch/egr/d/construction-coordination/6448069473.html
2018-01-04 15:13,AutoCAD Drafter,https://newyork.craigslist.org/brk/egr/d/autocad-drafter/6447947625.html
2018-01-04 14:54,Interior Design Production Coordinator (NJYINT760),https://newyork.craigslist.org/jsy/egr/d/interior-design-production/6447920655.html
2018-01-04 14:37,"Interior Design Job Captain, Retail (NJYINT760)",https://newyork.craigslist.org/jsy/egr/d/interior-design-job-captain/6447895986.html
2018-01-04 13:39,Intermediate Architect,https://newyork.craigslist.org/brk/egr/d/intermediate-architect/6447811749.html
2018-01-04 13:39,Senior Project Architect,https://newyork.craigslist.org/brk/egr/d/senior-project-architect/6447811102.html
2018-01-04 13:35,"Interior Design Project Manager, Retail (NJYINT760)",https://newyork.craigslist.org/jsy/egr/d/interior-design-project/6447806026.html
2018-01-04 13:26,Interior Design Job Captain (NJYINT760),https://newyork.craigslist.org/jsy/egr/d/interior-design-job-captain/6447792113.html
2018-01-04 13:13,Interior Design Project Manager (NJYINT760),https://newyork.craigslist.org/jsy/egr/d/interior-design-project/6447772429.html
2018-01-04 13:04,Environmental Branding Project Designer (NJYGRAPHIC701),https://newyork.craigslist.org/jsy/egr/d/environmental-branding/6447759418.html
2018-01-04 11:26,Interior Designer / Draftsman,https://newyork.craigslist.org/mnh/egr/d/interior-designer-draftsman/6447613060.html
2018-01-04 10:42,Mechanical Engineer,https://newyork.craigslist.org/brx/egr/d/mechanical-engineer/6447553878.html
2018-01-04 10:41,Project Architect (High-end Retail & Hospitality),https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6447552012.html
2018-01-04 02:00,GRAPHIC ARTIST / CAD DESIGNER - Junior Fashion,https://newyork.craigslist.org/mnh/egr/d/graphic-artist-cad-designer/6447320194.html
2018-01-03 17:56,Senior Hardware/Software Engineer,https://newyork.craigslist.org/lgi/egr/d/senior-hardware-software/6446977285.html
2018-01-03 16:57,CHIEF ENGINEER NEEDED - ASAP,https://newyork.craigslist.org/mnh/egr/d/chief-engineer-needed-asap/6446904384.html
2018-01-03 16:55,Mechanical (HVAC) Engineer,https://newyork.craigslist.org/mnh/egr/d/mechanical-hvac-engineer/6446902746.html
2018-01-03 16:51,SENIOR LEVEL ARCHITECT - 5TH AVENUE,https://newyork.craigslist.org/mnh/egr/d/senior-level-architect-5th/6446896858.html
2018-01-03 15:08,Structural Project Engineer,https://newyork.craigslist.org/mnh/egr/d/structural-project-engineer/6446759591.html
2018-01-03 12:02,Interior Architect | Interior Designer,https://newyork.craigslist.org/mnh/egr/d/interior-architect-interior/6446483010.html
2018-01-03 10:53,Senior Construction Site Supervisor,https://newyork.craigslist.org/brk/egr/d/senior-construction-site/6446383099.html
2018-01-03 09:24,Intermediate Architect - High End Residential,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect-high/6446280031.html
2018-01-03 07:27,NY PE with site safety experience,https://newyork.craigslist.org/brk/egr/d/ny-pe-with-site-safety/6446203171.html
2018-01-02 21:35,Junior Level of Interior Design Assistant,https://newyork.craigslist.org/brk/egr/d/junior-level-of-interior/6445985050.html
2018-01-02 16:40,Engineering Administrator,https://newyork.craigslist.org/wch/egr/d/engineering-administrator/6445680095.html
2018-01-02 16:38,Steel Detailer,https://newyork.craigslist.org/brk/egr/d/steel-detailer/6445677511.html
2018-01-02 14:56,Project Manager/Mechanical Engineers (2-10+ Years),https://newyork.craigslist.org/mnh/egr/d/project-manager-mechanical/6445533034.html
2018-01-02 14:52,Electrical Engineers with REVIT,https://newyork.craigslist.org/mnh/egr/d/electrical-engineers-with/6445527202.html
